"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","EBS Optimized surcharge"
"C3 High-CPU Double Extra Large","c3.2xlarge","15.0 GiB","28 units","8 vCPUs","0","0","3.5 units","Intel Xeon E5-2680 v2","2.8","Yes","","","160 GiB               (2 * 80 GiB SSD)","No","No","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","Yes","No","Yes","Yes","HVM, PV","$0.516000 hourly","$0.339000 hourly","$0.55 hourly","$0.422 hourly","$0.52 hourly","$0.328 hourly","$0.848000 hourly","$0.648000 hourly","$1.083 hourly","$0.771 hourly","$2.131 hourly","$1.542 hourly","$3.788 hourly","$3.664 hourly","$0.05 hourly"
"C3 High-CPU Quadruple Extra Large","c3.4xlarge","30.0 GiB","55 units","16 vCPUs","0","0","3.438 units","Intel Xeon E5-2680 v2","2.8","Yes","","","320 GiB               (2 * 160 GiB SSD)","No","No","64-bit","High","2000.0 Mbps","250.0 MB/s","16000.0 IOPS","240","Yes","No","Yes","Yes","HVM, PV","$1.032000 hourly","$0.678000 hourly","$0.97 hourly","$0.714 hourly","$0.94 hourly","$0.620 hourly","$1.696000 hourly","$1.297000 hourly","$2.166 hourly","$1.540 hourly","$4.262 hourly","$3.084 hourly","$7.576 hourly","$7.329 hourly","$0.10 hourly"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","0","3.375 units","Intel Xeon E5-2680 v2","2.8","Yes","","","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","Yes","No","Yes","Yes","HVM, PV","$2.064000 hourly","$1.357000 hourly","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$3.392000 hourly","$2.593000 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.170 hourly","$15.152 hourly","$14.657 hourly","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","174.5 units","64 vCPUs","0","0","2.727 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$9.337000 hourly","$5.480000 hourly","$6.799 hourly","$4.240 hourly","$6.769 hourly","$4.143 hourly","$12.281000 hourly","$8.424000 hourly","$10.94 hourly","$8.136 hourly","$17.293 hourly","$14.734 hourly","$33.613 hourly","$31.054 hourly","0"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","349 units","128 vCPUs","0","0","2.727 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","Yes","Yes","Yes","Yes","HVM","$18.674000 hourly","$10.959000 hourly","$13.468 hourly","$8.349 hourly","$13.438 hourly","$8.252 hourly","$24.562000 hourly","$16.847000 hourly","$21.88 hourly","$16.271 hourly","$34.586 hourly","$29.467 hourly","$67.226 hourly","$62.107 hourly","0"
"X1E Extra Large","x1e.xlarge","122.0 GiB","12 units","4 vCPUs","0","0","3 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","120 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","500.0 Mbps","62.5 MB/s","3700.0 IOPS","30","Yes","Yes","No","No","HVM","unavailable","unavailable","$0.894 hourly","$0.574 hourly","$0.934 hourly","$0.547 hourly","unavailable","unavailable","$1.086 hourly","$0.766 hourly","$1.498 hourly","$1.178 hourly","$2.518 hourly","$2.198 hourly","0"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","0","2.875 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","60","Yes","Yes","No","No","HVM","unavailable","unavailable","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","unavailable","unavailable","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","0"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","47 units","16 vCPUs","0","0","2.938 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","","480 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","10000.0 IOPS","60","Yes","Yes","No","No","HVM","unavailable","unavailable","$3.466 hourly","$2.186 hourly","$3.436 hourly","$2.089 hourly","unavailable","unavailable","$4.342 hourly","$3.062 hourly","$5.992 hourly","$4.712 hourly","$10.072 hourly","$8.792 hourly","0"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","91 units","32 vCPUs","0","0","2.844 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","960 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","60","Yes","Yes","No","No","HVM","unavailable","unavailable","$6.802 hourly","$4.242 hourly","$6.772 hourly","$4.145 hourly","unavailable","unavailable","$8.685 hourly","$6.124 hourly","$11.984 hourly","$9.424 hourly","$20.144 hourly","$17.584 hourly","0"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","179 units","64 vCPUs","0","0","2.797 units","Intel Xeon E7-8880 v3","2.3","Yes","Yes","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","Yes","Yes","No","No","HVM","unavailable","unavailable","$13.474 hourly","$8.353 hourly","$13.444 hourly","$8.256 hourly","unavailable","unavailable","$17.37 hourly","$12.249 hourly","$23.968 hourly","$18.847 hourly","$40.288 hourly","$35.167 hourly","0"
