ap-northeast-1,c1.medium,11.5419
ap-northeast-1,c1.xlarge,46.1676
ap-northeast-1,c3.2xlarge,84.0806
ap-northeast-1,c3.4xlarge,167.7958
ap-northeast-1,c3.8xlarge,329.6016
ap-northeast-1,c3.large,93.5040
ap-northeast-1,c3.xlarge,57.2712
ap-northeast-1,c4.2xlarge,86.4912
ap-northeast-1,c4.4xlarge,173.0555
ap-northeast-1,c4.8xlarge,346.1109
ap-northeast-1,c4.large,22.0611
ap-northeast-1,c4.xlarge,43.2456
ap-northeast-1,c5.18xlarge,817.6486
ap-northeast-1,c5.2xlarge,90.8742
ap-northeast-1,c5.4xlarge,181.6754
ap-northeast-1,c5.9xlarge,408.7878
ap-northeast-1,c5.large,24.9831
ap-northeast-1,c5.xlarge,46.5329
ap-northeast-1,cc2.8xlarge,206.1471
ap-northeast-1,cr1.8xlarge,2998.7025
ap-northeast-1,d2.2xlarge,1233.0840
ap-northeast-1,d2.4xlarge,2466.1680
ap-northeast-1,d2.8xlarge,4932.3360
ap-northeast-1,d2.xlarge,593.6043
ap-northeast-1,g2.2xlarge,201.2527
ap-northeast-1,g2.8xlarge,787.1868
ap-northeast-1,g3.16xlarge,4616.7600
ap-northeast-1,g3.4xlarge,346.2570
ap-northeast-1,g3.8xlarge,705.3708
ap-northeast-1,i2.2xlarge,1461.7305
ap-northeast-1,i2.4xlarge,2923.4610
ap-northeast-1,i2.8xlarge,5846.9220
ap-northeast-1,i2.xlarge,731.2305
ap-northeast-1,i3.16xlarge,1283.3424
ap-northeast-1,i3.2xlarge,160.4178
ap-northeast-1,i3.4xlarge,320.8356
ap-northeast-1,i3.8xlarge,641.6712
ap-northeast-1,i3.large,40.1044
ap-northeast-1,i3.xlarge,80.2089
ap-northeast-1,m1.large,17.7511
ap-northeast-1,m1.medium,8.9121
ap-northeast-1,m1.small,4.4561
ap-northeast-1,m1.xlarge,35.5023
ap-northeast-1,m2.2xlarge,42.0038
ap-northeast-1,m2.4xlarge,84.0075
ap-northeast-1,m2.xlarge,20.9653
ap-northeast-1,m3.2xlarge,562.4850
ap-northeast-1,m3.large,22.2802
ap-northeast-1,m3.medium,7.0128
ap-northeast-1,m3.xlarge,281.2425
ap-northeast-1,m4.10xlarge,1884.6900
ap-northeast-1,m4.16xlarge,4063.7715
ap-northeast-1,m4.2xlarge,90.8742
ap-northeast-1,m4.4xlarge,753.8760
ap-northeast-1,m4.large,22.7185
ap-northeast-1,m4.xlarge,45.4371
ap-northeast-1,m5.12xlarge,572.3467
ap-northeast-1,m5.24xlarge,1869.0573
ap-northeast-1,m5.2xlarge,95.4033
ap-northeast-1,m5.4xlarge,194.7513
ap-northeast-1,m5.large,23.8143
ap-northeast-1,m5.xlarge,48.5783
ap-northeast-1,p2.16xlarge,18022.8960
ap-northeast-1,p2.8xlarge,9011.4480
ap-northeast-1,p2.xlarge,337.9293
ap-northeast-1,p3.16xlarge,30640.0920
ap-northeast-1,p3.2xlarge,1149.0034
ap-northeast-1,p3.8xlarge,4596.0138
ap-northeast-1,r3.2xlarge,102.7083
ap-northeast-1,r3.4xlarge,195.6279
ap-northeast-1,r3.8xlarge,2331.7560
ap-northeast-1,r3.large,22.6455
ap-northeast-1,r3.xlarge,48.5783
ap-northeast-1,r4.16xlarge,3740.1600
ap-northeast-1,r4.2xlarge,103.0735
ap-northeast-1,r4.4xlarge,935.0400
ap-northeast-1,r4.8xlarge,1870.0800
ap-northeast-1,r4.large,25.6406
