"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge"
"General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","188 units","64 vCPUs","16","0","2.938 units","","","","","","EBS only","N/A","N/A","64-bit","25 Gigabit","10000.0 Mbps","1250.0 MB/s","65000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$21.216000 hourly","$13.035000 hourly","$14.53 hourly","$9.958 hourly","$14.5 hourly","$9.861 hourly","$24.160000 hourly","$15.979000 hourly","unavailable","unavailable","unavailable","unavailable","$41.344 hourly","$36.772 hourly","unavailable","unavailable","unavailable","unavailable","$38.4 hourly","$33.828 hourly","0"
"G3 Quadruple Extra Large","g3.4xlarge","122.0 GiB","47 units","16 vCPUs","1","0","2.938 units","","","","","","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$1.425000 hourly","$0.968000 hourly","$1.27 hourly","$0.908 hourly","$1.24 hourly","$0.811 hourly","$2.161000 hourly","$1.704000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"G3 Eight Extra Large","g3.8xlarge","244.0 GiB","94 units","32 vCPUs","2","0","2.938 units","","","","","","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$2.850000 hourly","$1.936000 hourly","$2.41 hourly","$1.686 hourly","$2.38 hourly","$1.589 hourly","$4.322000 hourly","$3.408000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"G3 16xlarge","g3.16xlarge","488.0 GiB","188 units","64 vCPUs","4","0","2.938 units","","","","","","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","750","15","Yes","Yes","Yes","Yes","HVM","$5.700000 hourly","$3.873000 hourly","$4.69 hourly","$3.242 hourly","$4.66 hourly","$3.145 hourly","$8.644000 hourly","$6.817000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"H1 Double Extra Large","h1.2xlarge","32.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","2000 GiB               HDD","Yes","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","12000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$0.598 hourly","$0.448 hourly","$0.568 hourly","$0.351 hourly","unavailable","unavailable","$0.971 hourly","$0.821 hourly","$1.796 hourly","$1.646 hourly","$3.836 hourly","$3.686 hourly","$0.603 hourly","$0.453 hourly","$1.428 hourly","$1.278 hourly","$3.468 hourly","$3.318 hourly","0"
"H1 Quadruple Extra Large","h1.4xlarge","64.0 GiB","53.5 units","16 vCPUs","0","0","3.344 units","","","","","","4000 GiB               (2 * 2000 GiB HDD)","Yes","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$1.066 hourly","$0.766 hourly","$1.036 hourly","$0.669 hourly","unavailable","unavailable","$1.942 hourly","$1.643 hourly","$3.592 hourly","$3.292 hourly","$7.672 hourly","$7.372 hourly","$1.206 hourly","$0.907 hourly","$2.856 hourly","$2.556 hourly","$6.936 hourly","$6.636 hourly","0"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","99 units","32 vCPUs","0","0","3.094 units","","","","","","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$2.002 hourly","$1.402 hourly","$1.972 hourly","$1.305 hourly","unavailable","unavailable","$3.885 hourly","$3.285 hourly","$7.184 hourly","$6.584 hourly","$15.344 hourly","$14.744 hourly","$2.413 hourly","$1.813 hourly","$5.712 hourly","$5.112 hourly","$13.872 hourly","$13.272 hourly","0"
"H1 16xlarge","h1.16xlarge","256.0 GiB","188 units","64 vCPUs","0","0","2.938 units","","","","","","16000 GiB               (8 * 2000 GiB HDD)","Yes","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","750","15","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$3.874 hourly","$2.675 hourly","$3.844 hourly","$2.578 hourly","unavailable","unavailable","$7.77 hourly","$6.570 hourly","$14.368 hourly","$13.169 hourly","$30.688 hourly","$29.489 hourly","$4.826 hourly","$3.626 hourly","$11.424 hourly","$10.225 hourly","$27.744 hourly","$26.545 hourly","0"
"D2 Extra Large","d2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","","","","","","6000 GiB               (3 * 2000 GiB HDD)","Yes","N/A","64-bit","Moderate","750.0 Mbps","93.75 MB/s","6000.0 IOPS","60","4","Yes","No","Yes","Yes","HVM","$0.794000 hourly","$0.404000 hourly","$0.75 hourly","$0.462 hourly","$0.79 hourly","$0.439 hourly","$0.925000 hourly","$0.463000 hourly","unavailable","unavailable","unavailable","unavailable","$2.374 hourly","$2.086 hourly","unavailable","unavailable","unavailable","unavailable","$2.19 hourly","$1.862 hourly","$0.00 hourly"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","0","0","3.5 units","","","","","","12000 GiB               (6 * 2000 GiB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","60","4","Yes","No","Yes","Yes","HVM","$1.588000 hourly","$0.808000 hourly","$1.51 hourly","$0.934 hourly","$1.48 hourly","$0.841 hourly","$1.809000 hourly","$0.876000 hourly","unavailable","unavailable","unavailable","unavailable","$4.748 hourly","$4.173 hourly","unavailable","unavailable","unavailable","unavailable","$4.38 hourly","$3.725 hourly","$0.00 hourly"
