"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","0","3.375 units","","","","","","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM, PV","$2.064000 hourly","$1.330000 hourly","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$3.392000 hourly","$2.541000 hourly","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.170 hourly","$15.152 hourly","$14.657 hourly","$2.288 hourly","$1.670 hourly","$6 hourly","$5.382 hourly","$15.18 hourly","$14.562 hourly","unavailable"
"G2 Double Extra Large","g2.2xlarge","15.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","60 GiB               SSD","No","No","64-bit","","N/A","0 MB/s","0 IOPS","60","4","No","No","No","No","Unknown","$0.772000 hourly","$0.474000 hourly","$0.78 hourly","$0.604 hourly","$0.75 hourly","$0.510 hourly","$0.906000 hourly","$0.543000 hourly","$0.957 hourly","$0.775 hourly","$3.816 hourly","$3.754 hourly","unavailable","unavailable","$0.785 hourly","$0.561 hourly","$1.61 hourly","$1.385 hourly","unavailable","unavailable","unavailable"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","0","0","3.25 units","","","","","","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","","N/A","0 MB/s","0 IOPS","240","8","No","No","No","No","Unknown","$3.088000 hourly","$1.895000 hourly","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$3.366000 hourly","$1.966000 hourly","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable","unavailable","unavailable","unavailable","$14.6 hourly","$13.702 hourly","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","88 units","32 vCPUs","0","0","2.75 units","","","","","","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","8","No","No","No","No","Unknown","unavailable","unavailable","$3.63 hourly","$1.819 hourly","$3.6 hourly","$1.725 hourly","unavailable","unavailable","$4.044 hourly","$2.327 hourly","$7.25 hourly","$6.077 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","174.5 units","64 vCPUs","0","0","2.727 units","","","","","","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$9.337000 hourly","$5.370000 hourly","$6.799 hourly","$4.240 hourly","$6.769 hourly","$4.143 hourly","$12.281000 hourly","$8.314000 hourly","$10.94 hourly","$8.136 hourly","$17.293 hourly","$14.734 hourly","$33.613 hourly","$31.054 hourly","$7.751 hourly","$5.191 hourly","$14.349 hourly","$11.790 hourly","$30.669 hourly","$28.110 hourly","0"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","349 units","128 vCPUs","0","0","2.727 units","","","","","","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$18.674000 hourly","$10.740000 hourly","$13.468 hourly","$8.349 hourly","$13.438 hourly","$8.252 hourly","$24.562000 hourly","$16.628000 hourly","$21.88 hourly","$16.271 hourly","$34.586 hourly","$29.467 hourly","$67.226 hourly","$62.107 hourly","$15.501 hourly","$10.383 hourly","$28.698 hourly","$23.579 hourly","$61.338 hourly","$56.219 hourly","0"
"X1E Extra Large","x1e.xlarge","122.0 GiB","12 units","4 vCPUs","0","0","3 units","","","","","","120 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","500.0 Mbps","62.5 MB/s","3700.0 IOPS","30","3","Yes","Yes","Yes","Yes","HVM","$1.167000 hourly","$0.671000 hourly","$0.894 hourly","$0.574 hourly","$0.934 hourly","$0.547 hourly","$1.351000 hourly","$0.855000 hourly","$1.086 hourly","$0.766 hourly","$1.498 hourly","$1.178 hourly","$2.518 hourly","$2.198 hourly","$0.902 hourly","$0.582 hourly","$1.314 hourly","$0.994 hourly","$2.334 hourly","$2.014 hourly","0"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","0","2.875 units","","","","","","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","$2.334000 hourly","$1.342000 hourly","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","$2.702000 hourly","$1.710000 hourly","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","$1.803 hourly","$1.163 hourly","$2.628 hourly","$1.988 hourly","$4.668 hourly","$4.028 hourly","0"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","47 units","16 vCPUs","0","0","2.938 units","","","","","","480 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.75 MB/s","10000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","$4.668000 hourly","$2.685000 hourly","$3.466 hourly","$2.186 hourly","$3.436 hourly","$2.089 hourly","$5.404000 hourly","$3.421000 hourly","$4.342 hourly","$3.062 hourly","$5.992 hourly","$4.712 hourly","$10.072 hourly","$8.792 hourly","$3.606 hourly","$2.326 hourly","$5.256 hourly","$3.976 hourly","$9.336 hourly","$8.056 hourly","0"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","91 units","32 vCPUs","0","0","2.844 units","","","","","","960 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","$9.336000 hourly","$5.370000 hourly","$6.802 hourly","$4.242 hourly","$6.772 hourly","$4.145 hourly","$10.808000 hourly","$6.842000 hourly","$8.685 hourly","$6.124 hourly","$11.984 hourly","$9.424 hourly","$20.144 hourly","$17.584 hourly","$7.213 hourly","$4.652 hourly","$10.512 hourly","$7.952 hourly","$18.672 hourly","$16.112 hourly","0"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","179 units","64 vCPUs","0","0","2.797 units","","","","","","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$18.672000 hourly","$10.739000 hourly","$13.474 hourly","$8.353 hourly","$13.444 hourly","$8.256 hourly","$21.616000 hourly","$13.683000 hourly","$17.37 hourly","$12.249 hourly","$23.968 hourly","$18.847 hourly","$40.288 hourly","$35.167 hourly","$14.426 hourly","$9.305 hourly","$21.024 hourly","$15.903 hourly","$37.344 hourly","$32.223 hourly","0"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","340 units","128 vCPUs","0","0","2.656 units","","","","","","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$37.344000 hourly","$21.479000 hourly","$26.818 hourly","$16.576 hourly","$26.788 hourly","$16.479 hourly","$43.232000 hourly","$27.367000 hourly","$34.74 hourly","$24.498 hourly","$47.936 hourly","$37.694 hourly","$80.576 hourly","$70.334 hourly","$28.851 hourly","$18.609 hourly","$42.048 hourly","$31.806 hourly","$74.688 hourly","$64.446 hourly","0"
"R3 High-Memory Large","r3.large","15.25 GiB","6.5 units","2 vCPUs","0","0","3.25 units","","","","","","32 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","30","3","No","No","Yes","No","HVM","$0.200000 hourly","$0.123000 hourly","$0.226 hourly","$0.165 hourly","$0.266 hourly","$0.138 hourly","$0.325000 hourly","$0.234000 hourly","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable","unavailable","$0.234 hourly","$0.162 hourly","$0.646 hourly","$0.574 hourly","unavailable","unavailable","unavailable"
"R3 High-Memory Extra Large","r3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","80 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM","$0.400000 hourly","$0.246000 hourly","$0.393 hourly","$0.269 hourly","$0.433 hourly","$0.242 hourly","$0.650000 hourly","$0.430000 hourly","$0.738 hourly","$0.519 hourly","$1.378 hourly","$1.213 hourly","$2.017 hourly","$1.895 hourly","$0.4 hourly","$0.256 hourly","$0.812 hourly","$0.668 hourly","$1.832 hourly","$1.688 hourly","unavailable"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","0","0","3.25 units","","","","","","160 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM","$0.800000 hourly","$0.493000 hourly","$0.795 hourly","$0.548 hourly","$0.765 hourly","$0.451 hourly","$1.180000 hourly","$0.857000 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.799 hourly","$0.512 hourly","$1.624 hourly","$1.337 hourly","$3.664 hourly","$3.377 hourly","unavailable"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","0","3.25 units","","","","","","320 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM","$1.600000 hourly","$0.986000 hourly","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$2.228000 hourly","$1.544000 hourly","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$1.598 hourly","$1.024 hourly","$3.248 hourly","$2.673 hourly","$7.328 hourly","$6.753 hourly","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","","","","","","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM","$3.201000 hourly","$1.973000 hourly","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$4.069000 hourly","$2.257000 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","$3.197 hourly","$2.048 hourly","$6.496 hourly","$5.347 hourly","$14.656 hourly","$13.507 hourly","unavailable"
"I2 Extra Large","i2.xlarge","30.5 GiB","14 units","4 vCPUs","0","0","3.5 units","","","","","","800 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM","$1.013000 hourly","$0.466000 hourly","$0.913 hourly","$0.484 hourly","$0.953 hourly","$0.460 hourly","$1.133000 hourly","$0.594000 hourly","$0.993 hourly","$0.578 hourly","$1.23 hourly","$0.768 hourly","$2.537 hourly","$2.108 hourly","$0.921 hourly","$0.449 hourly","$1.333 hourly","$0.861 hourly","$2.353 hourly","$1.881 hourly","unavailable"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","","","","","","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","60","4","No","No","Yes","No","HVM","$2.026000 hourly","$0.933000 hourly","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$2.267000 hourly","$1.188000 hourly","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","unavailable"
"I2 Quadruple Extra Large","i2.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","","","","","","3200 GiB               (4 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM","$4.051000 hourly","$1.865000 hourly","$3.54 hourly","$1.826 hourly","$3.51 hourly","$1.732 hourly","$4.532000 hourly","$2.375000 hourly","$3.971 hourly","$2.311 hourly","$4.918 hourly","$3.071 hourly","$10.146 hourly","$8.435 hourly","$3.682 hourly","$1.794 hourly","$5.332 hourly","$3.444 hourly","$9.412 hourly","$7.524 hourly","unavailable"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","","","","","","6400 GiB               (8 * 800 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","240","8","No","No","Yes","No","HVM","$8.102000 hourly","$3.730000 hourly","$6.95 hourly","$3.522 hourly","$6.92 hourly","$3.428 hourly","$9.064000 hourly","$4.750000 hourly","$7.942 hourly","$4.623 hourly","$9.836 hourly","$6.142 hourly","$20.292 hourly","$16.870 hourly","$7.365 hourly","$3.588 hourly","$10.664 hourly","$6.888 hourly","$18.824 hourly","$15.048 hourly","unavailable"
"C5 High-CPU Large","c5d.large","4.0 GiB","8 units","2 vCPUs","0","0","4 units","","","","","","50 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gbps","2250.0 Mbps","281.25 MB/s","16000.0 IOPS","30","3","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$0.156 hourly","$0.121 hourly","$0.196 hourly","$0.094 hourly","unavailable","unavailable","$0.256 hourly","$0.220 hourly","$0.668 hourly","$0.633 hourly","unavailable","unavailable","$0.164 hourly","$0.128 hourly","$0.576 hourly","$0.541 hourly","unavailable","unavailable","0"
"C5 High-CPU Extra Large","c5d.xlarge","8.0 GiB","16 units","4 vCPUs","0","0","4 units","","","","","","100 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gbps","2250.0 Mbps","281.25 MB/s","16000.0 IOPS","60","4","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$0.252 hourly","$0.181 hourly","$0.292 hourly","$0.154 hourly","unavailable","unavailable","$0.444 hourly","$0.373 hourly","$0.856 hourly","$0.785 hourly","$1.876 hourly","$1.805 hourly","$0.26 hourly","$0.189 hourly","$0.672 hourly","$0.601 hourly","$1.692 hourly","$1.621 hourly","0"
"C5 High-CPU Double Extra Large","c5d.2xlarge","16.0 GiB","31 units","8 vCPUs","0","0","3.875 units","","","","","","200 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gbps","2250.0 Mbps","281.25 MB/s","16000.0 IOPS","60","4","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$0.514 hourly","$0.372 hourly","$0.484 hourly","$0.275 hourly","unavailable","unavailable","$0.887 hourly","$0.745 hourly","$1.712 hourly","$1.570 hourly","$3.752 hourly","$3.610 hourly","$0.519 hourly","$0.377 hourly","$1.344 hourly","$1.202 hourly","$3.384 hourly","$3.242 hourly","0"
"C5 High-CPU Quadruple Extra Large","c5d.4xlarge","32.0 GiB","62 units","16 vCPUs","0","0","3.875 units","","","","","","400 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gbps","2250.0 Mbps","281.25 MB/s","16000.0 IOPS","240","8","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$0.898 hourly","$0.614 hourly","$0.868 hourly","$0.517 hourly","unavailable","unavailable","$1.774 hourly","$1.491 hourly","$3.424 hourly","$3.140 hourly","$7.504 hourly","$7.220 hourly","$1.038 hourly","$0.755 hourly","$2.688 hourly","$2.404 hourly","$6.768 hourly","$6.484 hourly","0"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","139 units","36 vCPUs","0","0","3.861 units","","","","","","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","4500.0 Mbps","562.5 MB/s","32000.0 IOPS","240","8","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$1.858 hourly","$1.220 hourly","$1.828 hourly","$1.123 hourly","unavailable","unavailable","$3.992 hourly","$3.354 hourly","$7.704 hourly","$7.066 hourly","$16.884 hourly","$16.246 hourly","$2.336 hourly","$1.698 hourly","$6.048 hourly","$5.410 hourly","$15.228 hourly","$14.590 hourly","0"
"C5 High-CPU 18xlarge","c5d.18xlarge","144.0 GiB","278 units","72 vCPUs","0","0","3.861 units","","","","","","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","9000.0 Mbps","1125.0 MB/s","64000.0 IOPS","750","15","Yes","Yes","Yes","No","Unknown","unavailable","unavailable","$3.586 hourly","$2.310 hourly","$3.556 hourly","$2.213 hourly","unavailable","unavailable","$7.985 hourly","$6.709 hourly","$15.408 hourly","$14.132 hourly","$33.768 hourly","$32.492 hourly","$4.673 hourly","$3.397 hourly","$12.096 hourly","$10.820 hourly","$30.456 hourly","$29.180 hourly","0"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","26 units","8 vCPUs","0","1","3.25 units","","","","","","470 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$1.78 hourly","$1.246 hourly","$1.75 hourly","$1.149 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"F1 16xlarge","f1.16xlarge","976.0 GiB","188 units","64 vCPUs","0","8","2.938 units","","","","","","3760 GiB               (4 * 940 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","400","8","Yes","Yes","Yes","Yes","HVM","unavailable","unavailable","$13.33 hourly","$9.055 hourly","$13.3 hourly","$8.958 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0"
"I3 High I/O Large","i3.large","15.25 GiB","7 units","2 vCPUs","0","0","3.5 units","","","","","","475 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","425.0 Mbps","53.13 MB/s","3000.0 IOPS","30","3","Yes","Yes","Yes","Yes","HVM","$0.186000 hourly","$0.118000 hourly","$0.216 hourly","$0.167 hourly","$0.256 hourly","$0.140 hourly","$0.278000 hourly","$0.210000 hourly","$0.319 hourly","$0.270 hourly","$0.728 hourly","$0.679 hourly","unavailable","unavailable","$0.224 hourly","$0.175 hourly","$0.636 hourly","$0.587 hourly","unavailable","unavailable","0"
"I3 High I/O Extra Large","i3.xlarge","30.5 GiB","13 units","4 vCPUs","0","0","3.25 units","","","","","","950 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","850.0 Mbps","106.25 MB/s","6000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","$0.372000 hourly","$0.237000 hourly","$0.372 hourly","$0.274 hourly","$0.412 hourly","$0.247 hourly","$0.556000 hourly","$0.421000 hourly","$0.567 hourly","$0.469 hourly","$0.976 hourly","$0.878 hourly","$1.996 hourly","$1.898 hourly","$0.38 hourly","$0.282 hourly","$0.792 hourly","$0.694 hourly","$1.812 hourly","$1.714 hourly","0"
"I3 High I/O Double Extra Large","i3.2xlarge","61.0 GiB","27 units","8 vCPUs","0","0","3.375 units","","","","","","1900 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","60","4","Yes","Yes","Yes","Yes","HVM","$0.744000 hourly","$0.474000 hourly","$0.754 hourly","$0.558 hourly","$0.724 hourly","$0.461 hourly","$1.112000 hourly","$0.842000 hourly","$1.133 hourly","$0.937 hourly","$1.952 hourly","$1.756 hourly","$3.992 hourly","$3.796 hourly","$0.759 hourly","$0.564 hourly","$1.584 hourly","$1.388 hourly","$3.624 hourly","$3.428 hourly","0"
"I3 High I/O Quadruple Extra Large","i3.4xlarge","122.0 GiB","53 units","16 vCPUs","0","0","3.312 units","","","","","","3800 GiB               (2 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","16000.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$1.488000 hourly","$0.948000 hourly","$1.378 hourly","$0.987 hourly","$1.348 hourly","$0.890 hourly","$2.224000 hourly","$1.684000 hourly","$2.266 hourly","$1.875 hourly","$3.904 hourly","$3.513 hourly","$7.984 hourly","$7.593 hourly","$1.518 hourly","$1.127 hourly","$3.168 hourly","$2.777 hourly","$7.248 hourly","$6.857 hourly","0"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","99 units","32 vCPUs","0","0","3.094 units","","","","","","7600 GiB               (4 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","32500.0 IOPS","240","8","Yes","Yes","Yes","Yes","HVM","$2.976000 hourly","$1.896000 hourly","$2.626 hourly","$1.844 hourly","$2.596 hourly","$1.747 hourly","$4.448000 hourly","$3.368000 hourly","$4.532 hourly","$3.750 hourly","$7.808 hourly","$7.026 hourly","$15.968 hourly","$15.186 hourly","$3.037 hourly","$2.254 hourly","$6.336 hourly","$5.554 hourly","$14.496 hourly","$13.714 hourly","0"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","200 units","64 vCPUs","0","0","3.125 units","","","","","","15200 GiB               (8 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","65000.0 IOPS","750","15","Yes","Yes","Yes","Yes","HVM","$5.952000 hourly","$3.791000 hourly","$5.122 hourly","$3.557 hourly","$5.092 hourly","$3.460 hourly","$8.896000 hourly","$6.735000 hourly","$9.063 hourly","$7.498 hourly","$15.616 hourly","$14.051 hourly","$31.936 hourly","$30.371 hourly","$6.074 hourly","$4.509 hourly","$12.672 hourly","$11.107 hourly","$28.992 hourly","$27.427 hourly","0"
"I3 High I/O Metal","i3.metal","512.0 GiB","208 units","N/A vCPUs","0","0","unknown","","","","","","15200 GiB               (8 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","10000.0 Mbps","1250.0 MB/s","64000.0 IOPS","750","15","Yes","Yes","Yes","Yes","HVM","$5.952000 hourly","$3.763000 hourly","$5.122 hourly","$3.557 hourly","$5.092 hourly","$3.460 hourly","$8.896000 hourly","$6.707000 hourly","$9.063 hourly","$7.498 hourly","$15.616 hourly","$14.051 hourly","$31.936 hourly","$30.371 hourly","$6.074 hourly","$4.509 hourly","$12.672 hourly","$11.107 hourly","$28.992 hourly","$27.427 hourly","0"
