minikube	https://192.168.99.100:8443	default	application-registry-86cfd794f4-tvgg5	application-registry	0.001	20971520.0	0.0	10219520.0
minikube	https://192.168.99.100:8443	default	kube-resource-report-6d844fb7c4-8nvmr	kube-resource-report	0.01	73400320.0	0.003	45772800.0
minikube	https://192.168.99.100:8443	kube-system	default-http-backend-59868b7dd6-5pxw5	default-http-backend	0.01	20971520.0	0.0	4079616.0
minikube	https://192.168.99.100:8443	kube-system	etcd-minikube		0.0	0.0	0.016	51625984.0
minikube	https://192.168.99.100:8443	kube-system	heapster-zr7fg		0.0	0.0	0.0	26230784.0
minikube	https://192.168.99.100:8443	kube-system	influxdb-grafana-xgtrp		0.0	0.0	0.001	41951232.0
minikube	https://192.168.99.100:8443	kube-system	kube-addon-manager-minikube		0.005	52428800.0	0.017	3928064.0
minikube	https://192.168.99.100:8443	kube-system	kube-apiserver-minikube		0.25	0.0	0.026000000000000002	267743232.0
minikube	https://192.168.99.100:8443	kube-system	kube-controller-manager-minikube		0.2	0.0	0.034	43278336.0
minikube	https://192.168.99.100:8443	kube-system	kube-dns-86f4d74b45-2jv2q		0.26	115343360.0	0.001	27062272.0
minikube	https://192.168.99.100:8443	kube-system	kube-proxy-tprgh		0.0	0.0	0.002	13205504.0
minikube	https://192.168.99.100:8443	kube-system	kube-scheduler-minikube		0.1	0.0	0.008	13033472.0
minikube	https://192.168.99.100:8443	kube-system	kubernetes-dashboard-5498ccf677-qhttl	kubernetes-dashboard	0.0	0.0	0.0	13770752.0
minikube	https://192.168.99.100:8443	kube-system	nginx-ingress-controller-5984b97644-rqkmn	nginx-ingress-controller	0.0	0.0	0.003	61820928.0
minikube	https://192.168.99.100:8443	kube-system	storage-provisioner		0.0	0.0	0.0	13246464.0
